Group,Day,Errors
Always,1,10
Always,2,7.9
Always,3,8
Always,4,7.9
Always,5,6
Always,6,6
Always,7,5.3
Always,8,5
Always,9,4
Always,10,4.2
Always,11,3.9
Always,12,3.7
Always,13,3.5
Always,14,2.1
Always,15,3
Always,16,2
Always,17,1.9
Day11,1,10.1
Day11,2,10.1
Day11,3,9
Day11,4,8
Day11,5,7.7
Day11,6,7.7
Day11,7,7.8
Day11,8,6
Day11,9,5.9
Day11,10,6
Day11,11,5.8
Day11,12,2.3
Day11,13,2
Day11,14,2
Day11,15,1.9
Day11,16,1.8
Day11,17,1.8
Never,1,9.5
Never,2,8.4
Never,3,7.8
Never,4,8
Never,5,7.9
Never,6,6.5
Never,7,7
Never,8,6.2
Never,9,6
Never,10,7
Never,11,6
Never,12,6.1
Never,13,6.3
Never,14,6.3
Never,15,6
Never,16,6.3
Never,17,6